record_id,protein_name,protein_source,protein_category,pH,temperature_c,protein_concentration_pct,processing_method,extraction_method,measurement_method,solubility_pct,emulsification_index,foaming_capacity_pct,gel_strength_g
45,Soy Protein,Soy,Plant,7.42,72.2,6.67,High Pressure,Alkaline Extraction,Foam Test,65.97,61.78,58.35,69.64
46,Potato Protein,Potato,Plant,4.55,87.9,2.35,Untreated,Salt Extraction,Emulsion Test,48.35,58.18,45.87,62.3
47,Soy Protein,Soy,Plant,7.63,51.8,7.02,pH Shift,Alkaline Extraction,Spectrophotometric,67.7,60.43,55.85,59.1
48,Spirulina Protein,Spirulina,Algae,6.09,60.9,2.62,Heat,Salt Extraction,Texture Analysis,60.47,65.61,48.95,58.76
49,Rice Protein,Rice,Plant,8.6,77.6,9.6,High Pressure,Alkaline Extraction,Spectrophotometric,56.16,58.1,54.2,66.61
50,Soy Protein,Soy,Plant,4.62,46.4,8.48,pH Shift,Alkaline Extraction,Spectrophotometric,53.74,61.31,44.33,70.03
51,Mung Bean Protein,Mung Bean,Plant,4.75,80.5,8.5,pH Shift,Alkaline Extraction,Spectrophotometric,57.42,54.05,40.53,57.53
52,Potato Protein,Potato,Plant,7.23,36.0,7.37,Untreated,Aqueous Extraction,Spectrophotometric,47.41,63.98,45.16,44.51
53,Soy Protein,Soy,Plant,6.84,79.7,6.42,Heat,Salt Extraction,Foam Test,62.4,61.2,39.8,66.31
54,Hemp Protein,Hemp,Plant,7.29,69.3,3.7,pH Shift,Aqueous Extraction,Spectrophotometric,57.49,47.76,34.08,49.09
55,Hemp Protein,Hemp,Plant,6.53,83.7,4.38,Heat,Alkaline Extraction,Emulsion Test,61.1,55.39,39.03,70.44
56,Pea Protein,Pea,Plant,4.8,23.2,6.97,,Alkaline Extraction,Texture Analysis,49.55,51.24,33.7,56.29
57,Hemp Protein,Hemp,Plant,7.13,48.0,7.58,Untreated,Aqueous Extraction,Foam Test,49.67,51.31,44.99,45.59
58,Mung Bean Protein,Mung Bean,Plant,5.37,22.9,3.35,Untreated,Salt Extraction,Spectrophotometric,45.56,51.49,34.93,42.58
59,Soy Protein,Soy,Plant,7.61,22.8,8.4,Untreated,Salt Extraction,Emulsion Test,51.34,60.61,44.34,46.37
60,Pea Protein,Pea,Plant,5.33,34.7,4.96,High Pressure,Alkaline Extraction,Foam Test,67.15,53.2,49.67,46.52
61,Chickpea Protein,Chickpea,Plant,5.64,69.9,9.16,Heat,Salt Extraction,Foam Test,58.84,58.06,40.76,54.74
62,Mung Bean Protein,Mung Bean,Plant,5.71,46.4,2.16,pH Shift,Aqueous Extraction,Texture Analysis,52.49,51.96,38.23,56.5
63,Pea Protein,Pea,Plant,6.1,65.4,5.84,Untreated,Alkaline Extraction,Texture Analysis,59.21,58.76,53.22,63.7
64,Rice Protein,Rice,Plant,6.02,83.0,6.86,pH Shift,Salt Extraction,Spectrophotometric,52.23,47.34,43.18,64.58
65,Chickpea Protein,Chickpea,Plant,6.14,54.1,8.81,Heat,Alkaline Extraction,Emulsion Test,56.63,58.69,41.36,59.23
66,Potato Protein,Potato,Plant,7.73,57.5,5.81,pH Shift,Salt Extraction,Spectrophotometric,58.57,59.81,46.7,58.49
67,Rice Protein,Rice,Plant,7.96,26.1,6.05,pH Shift,Alkaline Extraction,Emulsion Test,55.88,55.86,32.05,58.98
68,Spirulina Protein,Spirulina,Algae,6.97,34.1,7.48,Heat,Alkaline Extraction,Foam Test,69.15,57.38,43.13,56.48
69,Chickpea Protein,Chickpea,Plant,8.7,89.4,3.64,Heat,Salt Extraction,Emulsion Test,51.68,52.02,44.3,68.33
70,Chickpea Protein,Chickpea,Plant,5.24,77.0,7.32,Heat,Salt Extraction,Foam Test,42.04,54.11,40.05,67.94
71,Spirulina Protein,Spirulina,Algae,6.2,52.4,4.41,High Pressure,,Texture Analysis,61.74,65.14,55.83,64.79
72,Hemp Protein,Hemp,Plant,8.58,63.7,2.94,Heat,Salt Extraction,Spectrophotometric,50.94,53.71,35.63,54.52
73,Hemp Protein,Hemp,Plant,6.9,82.6,8.31,pH Shift,Alkaline Extraction,Spectrophotometric,54.82,51.58,44.15,59.51
74,Potato Protein,Potato,Plant,7.93,81.4,4.74,High Pressure,Salt Extraction,Emulsion Test,63.52,55.47,51.36,69.03
75,Rice Protein,Rice,Plant,7.39,68.6,6.34,Untreated,Salt Extraction,Foam Test,47.51,50.46,31.81,62.13
76,Hemp Protein,Hemp,Plant,5.19,61.0,6.05,Heat,Salt Extraction,Foam Test,47.85,51.16,48.91,59.79
77,Spirulina Protein,Spirulina,Algae,7.97,46.2,2.55,Untreated,Aqueous Extraction,Emulsion Test,52.81,56.04,42.19,49.98
78,Hemp Protein,Hemp,Plant,5.9,35.9,6.86,Untreated,Alkaline Extraction,Foam Test,53.46,49.97,43.08,40.19
79,Soy Protein,Soy,Plant,6.37,80.4,9.38,Untreated,Aqueous Extraction,Foam Test,45.95,48.56,45.71,66.75
80,Mung Bean Protein,Mung Bean,Plant,5.62,60.4,3.32,High Pressure,Aqueous Extraction,Foam Test,54.05,57.95,48.74,61.17
81,Pea Protein,Pea,Plant,6.57,59.0,8.89,pH Shift,Alkaline Extraction,Texture Analysis,57.2,58.35,37.5,56.04
82,Potato Protein,Potato,Plant,8.1,44.5,5.75,pH Shift,Aqueous Extraction,Foam Test,52.21,62.59,45.02,67.12
83,Pea Protein,Pea,Plant,6.87,57.4,5.85,Heat,Aqueous Extraction,Foam Test,61.2,58.09,41.31,55.06
84,Hemp Protein,Hemp,Plant,5.73,82.8,6.21,pH Shift,Aqueous Extraction,Texture Analysis,52.06,43.53,36.15,60.96
85,Hemp Protein,Hemp,Plant,8.1,32.5,7.22,Untreated,Salt Extraction,Spectrophotometric,44.76,51.81,44.07,37.48
86,Spirulina Protein,Spirulina,Algae,6.29,66.8,3.64,Heat,Aqueous Extraction,Texture Analysis,,57.45,45.83,56.19
87,Rice Protein,Rice,Plant,8.18,43.9,4.08,Heat,Salt Extraction,Spectrophotometric,56.91,46.28,44.48,44.5
88,Potato Protein,Potato,Plant,6.46,40.6,9.59,High Pressure,Salt Extraction,Spectrophotometric,58.87,59.92,53.31,68.77
89,Potato Protein,Potato,Plant,4.6,38.8,6.33,pH Shift,Alkaline Extraction,Emulsion Test,53.29,57.25,44.35,57.6
90,Rice Protein,Rice,Plant,5.27,39.1,2.15,Heat,Salt Extraction,Spectrophotometric,46.73,54.13,50.73,56.08
91,Soy Protein,Soy,Plant,4.55,29.6,9.2,High Pressure,Aqueous Extraction,Spectrophotometric,54.88,59.78,63.23,67.49
92,Hemp Protein,Hemp,Plant,6.38,46.8,6.15,Heat,Alkaline Extraction,Spectrophotometric,55.4,54.92,32.83,56.19
93,Chickpea Protein,Chickpea,Plant,8.62,70.5,6.88,pH Shift,Aqueous Extraction,Texture Analysis,49.42,55.17,32.63,62.88
94,Hemp Protein,Hemp,Plant,8.29,79.2,9.64,High Pressure,Aqueous Extraction,Foam Test,50.01,47.98,39.4,64.69
95,Spirulina Protein,Spirulina,Algae,7.67,61.9,5.68,Untreated,Alkaline Extraction,Spectrophotometric,60.76,56.42,45.29,68.15
96,Rice Protein,Rice,Plant,7.38,73.1,7.79,Heat,Aqueous Extraction,Texture Analysis,50.89,55.5,42.04,64.68
97,Mung Bean Protein,Mung Bean,Plant,7.51,23.1,6.71,Heat,Alkaline Extraction,Spectrophotometric,51.78,55.67,43.89,46.25
98,Mung Bean Protein,Mung Bean,Plant,8.75,53.2,8.9,High Pressure,Salt Extraction,Foam Test,53.41,57.03,45.07,66.31
99,Rice Protein,Rice,Plant,7.63,43.8,7.8,Untreated,Salt Extraction,Foam Test,48.78,53.14,47.93,48.13
100,Pea Protein,Pea,Plant,8.49,63.1,3.86,Untreated,Salt Extraction,Spectrophotometric,52.47,55.04,48.92,50.67
101,Chickpea Protein,Chickpea,Plant,7.32,81.2,9.87,Heat,Alkaline Extraction,Texture Analysis,53.88,,49.3,60.16
102,Potato Protein,Potato,Plant,6.1,40.1,4.37,Untreated,Aqueous Extraction,Spectrophotometric,45.89,52.51,38.15,54.12
103,Soy Protein,Soy,Plant,4.9,49.2,9.03,Untreated,Alkaline Extraction,Spectrophotometric,53.04,58.85,39.29,56.59
104,Rice Protein,Rice,Plant,8.74,65.5,6.86,High Pressure,Aqueous Extraction,Texture Analysis,46.16,52.2,48.11,60.78
105,Pea Protein,Pea,Plant,6.08,24.0,9.75,Heat,Aqueous Extraction,Texture Analysis,54.89,54.19,38.64,53.83
106,Spirulina Protein,Spirulina,Algae,5.51,57.6,6.74,pH Shift,Salt Extraction,Spectrophotometric,54.81,57.11,42.39,67.9
107,Rice Protein,Rice,Plant,8.8,80.3,8.48,Untreated,Alkaline Extraction,Foam Test,47.7,59.83,39.82,51.29
108,Hemp Protein,Hemp,Plant,4.72,57.3,9.7,Heat,Aqueous Extraction,Spectrophotometric,44.22,54.49,40.76,60.5
109,Spirulina Protein,Spirulina,Algae,5.7,81.5,8.38,Heat,Aqueous Extraction,Spectrophotometric,54.1,58.63,46.23,71.67
110,Mung Bean Protein,Mung Bean,Plant,7.56,63.3,8.02,Untreated,Alkaline Extraction,Spectrophotometric,53.41,57.26,48.13,48.92
111,Hemp Protein,Hemp,Plant,7.9,38.1,3.55,Heat,Salt Extraction,Emulsion Test,52.2,50.96,35.04,51.45
112,Soy Protein,Soy,Plant,5.08,39.8,2.15,High Pressure,Alkaline Extraction,Foam Test,67.78,55.45,48.97,61.56
113,Chickpea Protein,Chickpea,Plant,5.28,74.0,9.58,Untreated,Salt Extraction,Texture Analysis,45.36,50.32,40.23,66.58
114,Potato Protein,Potato,Plant,8.42,88.1,9.75,Heat,Aqueous Extraction,Emulsion Test,46.95,57.33,51.33,67.63
115,Soy Protein,Soy,Plant,5.73,89.8,5.41,pH Shift,Salt Extraction,Emulsion Test,53.55,57.12,48.14,79.37
116,Rice Protein,Rice,Plant,7.56,65.8,4.19,High Pressure,Salt Extraction,Foam Test,60.58,54.68,,58.03
117,Potato Protein,Potato,Plant,8.93,48.7,9.15,pH Shift,Alkaline Extraction,Spectrophotometric,55.28,52.1,43.87,59.8
118,Rice Protein,Rice,Plant,6.63,87.8,3.48,Heat,Aqueous Extraction,Texture Analysis,52.8,57.3,43.55,66.64
119,Rice Protein,Rice,Plant,5.09,22.3,9.37,pH Shift,Aqueous Extraction,Spectrophotometric,49.98,53.57,35.55,50.28
120,Pea Protein,Pea,Plant,5.51,31.3,7.21,Heat,Alkaline Extraction,Emulsion Test,57.88,47.98,44.28,52.58
121,Pea Protein,Pea,Plant,7.56,47.7,9.8,High Pressure,Alkaline Extraction,Emulsion Test,65.61,62.57,54.09,65.74
122,Mung Bean Protein,Mung Bean,Plant,4.96,60.0,2.15,High Pressure,Alkaline Extraction,Spectrophotometric,55.58,52.67,58.02,61.04
123,Soy Protein,Soy,Plant,6.9,81.8,2.66,High Pressure,Alkaline Extraction,Emulsion Test,66.68,64.88,58.06,68.58
124,Hemp Protein,Hemp,Plant,7.52,86.6,2.99,Heat,Salt Extraction,Foam Test,53.32,57.89,47.38,71.79
125,Pea Protein,Pea,Plant,8.11,43.8,8.52,Heat,Salt Extraction,Texture Analysis,57.98,56.69,53.18,51.81
126,Pea Protein,Pea,Plant,4.87,24.2,3.98,High Pressure,Salt Extraction,Emulsion Test,52.58,51.6,55.89,63.83
127,Mung Bean Protein,Mung Bean,Plant,7.74,36.0,9.97,High Pressure,Salt Extraction,Emulsion Test,57.33,56.68,55.17,52.86
128,Chickpea Protein,Chickpea,Plant,5.66,52.4,8.95,Heat,Aqueous Extraction,Foam Test,51.98,57.13,32.08,50.69
129,Rice Protein,Rice,Plant,6.81,61.2,2.24,Heat,Salt Extraction,Spectrophotometric,61.56,49.54,47.28,59.94
130,Hemp Protein,Hemp,Plant,5.78,45.1,5.07,Heat,Aqueous Extraction,Foam Test,53.14,51.87,43.75,47.97
131,Rice Protein,Rice,Plant,7.35,46.1,6.1,High Pressure,Salt Extraction,Foam Test,57.11,54.93,46.23,
132,Chickpea Protein,Chickpea,Plant,7.11,66.4,2.76,pH Shift,Salt Extraction,Texture Analysis,55.29,60.86,46.64,60.83
133,Chickpea Protein,Chickpea,Plant,7.19,47.8,3.9,pH Shift,Alkaline Extraction,Texture Analysis,64.05,55.31,31.81,54.0
134,Chickpea Protein,Chickpea,Plant,6.44,37.4,6.94,Heat,Salt Extraction,Spectrophotometric,51.99,57.96,45.64,59.69
135,Chickpea Protein,Chickpea,Plant,8.13,61.0,8.95,Untreated,Alkaline Extraction,Texture Analysis,49.56,53.46,41.04,52.03
136,Hemp Protein,Hemp,Plant,7.38,35.7,3.44,Untreated,Salt Extraction,Spectrophotometric,55.8,57.74,37.6,29.19
137,Mung Bean Protein,Mung Bean,Plant,5.95,88.1,6.64,pH Shift,Salt Extraction,Emulsion Test,54.11,48.58,44.24,56.5
138,Hemp Protein,Hemp,Plant,5.15,85.8,7.86,High Pressure,Salt Extraction,Spectrophotometric,48.29,49.19,46.4,71.35
139,Potato Protein,Potato,Plant,5.65,66.3,9.83,Untreated,Aqueous Extraction,Emulsion Test,46.29,55.9,46.84,53.47
140,Hemp Protein,Hemp,Plant,5.01,75.7,9.35,High Pressure,Alkaline Extraction,Texture Analysis,54.09,51.25,52.53,71.87
141,Pea Protein,Pea,Plant,5.22,62.3,4.54,Heat,Salt Extraction,Texture Analysis,52.18,55.05,39.78,58.61
142,Soy Protein,Soy,Plant,8.67,50.7,9.21,Untreated,Salt Extraction,Emulsion Test,49.98,59.85,43.3,60.36
143,Potato Protein,Potato,Plant,5.98,64.1,6.88,Heat,Aqueous Extraction,Spectrophotometric,47.53,61.26,54.56,68.7
144,Spirulina Protein,Spirulina,Algae,4.57,61.1,3.35,Untreated,Aqueous Extraction,Texture Analysis,52.61,57.85,59.91,56.47
145,Spirulina Protein,Spirulina,Algae,8.61,77.0,2.87,High Pressure,Salt Extraction,Emulsion Test,59.59,51.44,53.45,62.44
146,Mung Bean Protein,,Plant,7.86,70.1,6.17,High Pressure,Aqueous Extraction,Emulsion Test,55.33,60.9,52.75,69.81
147,Mung Bean Protein,Mung Bean,Plant,6.08,27.1,5.89,pH Shift,Alkaline Extraction,Spectrophotometric,56.2,51.74,46.95,50.07
148,Mung Bean Protein,Mung Bean,Plant,7.73,48.0,9.81,High Pressure,Salt Extraction,Texture Analysis,58.57,61.49,49.4,65.08
149,Hemp Protein,Hemp,Plant,5.33,84.2,5.4,High Pressure,Alkaline Extraction,Emulsion Test,55.73,42.13,51.24,81.55
150,Rice Protein,Rice,Plant,7.41,32.2,4.89,Untreated,Salt Extraction,Spectrophotometric,51.1,56.46,32.61,46.3
151,Rice Protein,Rice,Plant,6.41,66.7,2.76,Heat,Aqueous Extraction,Texture Analysis,50.66,63.58,34.76,60.53
152,Mung Bean Protein,Mung Bean,Plant,5.48,26.7,2.19,High Pressure,Salt Extraction,Spectrophotometric,60.92,60.47,44.42,58.28
153,Potato Protein,Potato,Plant,6.74,89.1,3.09,Untreated,Alkaline Extraction,Spectrophotometric,54.68,65.39,51.89,58.95
154,Pea Protein,Pea,Plant,5.08,27.3,7.79,pH Shift,Aqueous Extraction,Texture Analysis,45.53,56.24,37.3,50.56
155,Pea Protein,Pea,Plant,8.24,66.9,2.56,pH Shift,Alkaline Extraction,Spectrophotometric,56.58,58.81,51.25,69.95
156,Rice Protein,Rice,Plant,5.36,23.7,5.03,Untreated,Salt Extraction,Foam Test,39.35,49.59,36.58,42.89
157,Chickpea Protein,Chickpea,Plant,7.9,31.9,5.28,Untreated,Alkaline Extraction,Foam Test,56.33,53.73,41.3,47.28
158,Potato Protein,Potato,Plant,8.88,21.4,7.9,Untreated,Aqueous Extraction,Texture Analysis,42.7,58.01,40.26,46.99
159,Potato Protein,Potato,Plant,5.07,77.8,8.26,Heat,Aqueous Extraction,Texture Analysis,45.52,51.22,39.98,64.02
160,Mung Bean Protein,Mung Bean,Plant,5.87,47.8,5.58,Untreated,Alkaline Extraction,Spectrophotometric,54.9,65.01,42.07,54.98
161,Potato Protein,Potato,Plant,5.44,85.1,2.93,High Pressure,Alkaline Extraction,,59.48,60.15,56.34,76.87
162,Rice Protein,Rice,Plant,6.31,32.1,7.56,Heat,Alkaline Extraction,Foam Test,55.39,54.7,46.13,52.87
163,Pea Protein,Pea,Plant,8.65,54.1,6.85,Untreated,Salt Extraction,Spectrophotometric,47.09,56.6,30.17,52.91
164,Pea Protein,Pea,Plant,4.81,21.8,3.08,Untreated,Alkaline Extraction,Emulsion Test,51.01,55.77,42.45,47.37
165,Chickpea Protein,Chickpea,Plant,6.48,27.4,7.13,pH Shift,Salt Extraction,Texture Analysis,57.36,50.84,36.57,55.35
166,Mung Bean Protein,Mung Bean,Plant,6.57,24.1,9.96,Untreated,Aqueous Extraction,Emulsion Test,47.78,55.61,39.03,42.21
167,Spirulina Protein,Spirulina,Algae,7.35,36.0,3.86,High Pressure,Alkaline Extraction,Texture Analysis,65.76,57.47,58.95,64.55
168,Soy Protein,Soy,Plant,6.32,65.8,4.83,pH Shift,Alkaline Extraction,Texture Analysis,59.04,70.37,42.87,60.48
169,Chickpea Protein,Chickpea,Plant,5.1,49.3,8.32,Heat,Aqueous Extraction,Emulsion Test,53.18,55.6,43.69,48.16
170,Chickpea Protein,Chickpea,Plant,7.33,33.9,2.52,Untreated,Salt Extraction,Emulsion Test,52.71,54.59,45.48,37.63
171,Chickpea Protein,Chickpea,Plant,6.7,30.5,4.6,High Pressure,Aqueous Extraction,Spectrophotometric,57.31,63.23,44.54,46.94
172,Potato Protein,Potato,Plant,8.51,86.9,8.3,Heat,Alkaline Extraction,Emulsion Test,57.56,51.12,35.5,65.28
173,Soy Protein,Soy,Plant,8.56,52.3,7.1,Heat,Salt Extraction,Texture Analysis,58.57,58.28,51.41,70.44
174,Rice Protein,Rice,Plant,4.98,89.2,5.55,pH Shift,Alkaline Extraction,Foam Test,54.38,56.36,40.08,67.87
175,Pea Protein,Pea,Plant,6.09,40.8,4.8,Untreated,Alkaline Extraction,Texture Analysis,57.53,61.14,40.54,46.58
176,Chickpea Protein,Chickpea,,7.94,38.6,2.17,Untreated,Salt Extraction,Emulsion Test,54.49,51.79,34.29,55.66
177,Soy Protein,Soy,Plant,7.27,74.2,7.15,pH Shift,Alkaline Extraction,Texture Analysis,62.49,60.58,52.18,80.35
178,Hemp Protein,Hemp,Plant,4.7,27.8,6.79,High Pressure,Salt Extraction,Foam Test,49.61,47.24,39.17,59.8
179,Soy Protein,Soy,Plant,5.05,33.8,9.1,Heat,Salt Extraction,Texture Analysis,49.18,60.0,46.42,58.05
180,Pea Protein,Pea,Plant,5.64,72.9,5.68,High Pressure,Alkaline Extraction,Foam Test,61.58,58.12,56.11,76.27
181,Mung Bean Protein,Mung Bean,Plant,8.93,85.6,2.35,High Pressure,Salt Extraction,Emulsion Test,54.78,52.83,56.16,74.87
182,Hemp Protein,Hemp,Plant,8.28,71.3,6.34,pH Shift,Aqueous Extraction,Foam Test,49.93,62.61,42.83,51.26
183,Chickpea Protein,Chickpea,Plant,7.36,73.3,3.28,Heat,Aqueous Extraction,Texture Analysis,53.31,56.21,45.54,55.76
184,Pea Protein,Pea,Plant,8.46,66.0,4.49,High Pressure,Aqueous Extraction,Texture Analysis,58.16,57.26,60.52,73.17
185,Spirulina Protein,Spirulina,Algae,6.86,79.4,8.72,Untreated,Alkaline Extraction,Texture Analysis,58.7,62.94,49.83,65.55
186,Hemp Protein,Hemp,Plant,6.76,28.7,5.08,pH Shift,Salt Extraction,Texture Analysis,59.19,57.33,37.71,49.03
187,Potato Protein,Potato,Plant,5.3,22.0,3.34,Untreated,Salt Extraction,Texture Analysis,48.49,50.46,48.4,43.96
188,Chickpea Protein,Chickpea,Plant,4.97,35.8,7.62,Heat,Aqueous Extraction,Texture Analysis,46.89,49.57,49.43,61.32
189,Rice Protein,Rice,Plant,7.36,30.4,7.56,High Pressure,Aqueous Extraction,Spectrophotometric,56.87,53.51,39.18,57.82
190,Potato Protein,Potato,Plant,5.56,46.0,2.5,pH Shift,Alkaline Extraction,Foam Test,63.77,58.57,38.96,66.84
191,Pea Protein,Pea,Plant,6.73,32.5,7.49,Untreated,Salt Extraction,Texture Analysis,53.52,52.51,46.39,57.18
192,Potato Protein,Potato,Plant,8.68,74.8,2.45,Untreated,Salt Extraction,Spectrophotometric,49.26,57.33,40.04,45.36
193,Rice Protein,Rice,Plant,8.72,69.4,7.05,Untreated,Alkaline Extraction,Emulsion Test,47.82,52.52,38.38,51.27
194,Pea Protein,Pea,Plant,4.56,39.8,2.36,pH Shift,Alkaline Extraction,Texture Analysis,61.02,50.68,42.47,59.42
195,Hemp Protein,Hemp,Plant,5.71,30.9,8.82,Heat,Alkaline Extraction,Spectrophotometric,51.5,50.22,30.26,53.43
196,Soy Protein,Soy,Plant,4.89,36.6,7.86,Untreated,Aqueous Extraction,Foam Test,44.56,56.69,43.61,56.71
197,Soy Protein,Soy,Plant,6.73,88.6,3.16,High Pressure,Salt Extraction,Spectrophotometric,61.57,62.86,48.55,69.71
198,Chickpea Protein,Chickpea,Plant,5.01,30.6,3.8,High Pressure,Alkaline Extraction,Spectrophotometric,59.41,50.49,56.49,72.63
199,Chickpea Protein,Chickpea,Plant,7.75,24.7,7.66,Untreated,Salt Extraction,Texture Analysis,45.95,55.72,36.04,25.65
200,Chickpea Protein,Chickpea,Plant,8.32,66.8,5.7,Untreated,Salt Extraction,Emulsion Test,53.04,49.55,37.85,54.14
201,Spirulina Protein,Spirulina,Algae,8.9,75.6,5.98,Heat,Aqueous Extraction,Emulsion Test,53.64,54.17,52.11,67.55
